model_name,layer,layer_frac,intervention_type,test_pearson,test_spearman,test_r2,behavior_margin_delta,bootstrap_ci_low,bootstrap_ci_high,answer_flip_rate,accuracy_change,n_examples
EleutherAI/pythia-410m,0,0.0,activation_patching,0.3741335868835449,0.3459142769041011,-0.3006424903869629,-0.0012444479033868231,-0.0033332538728130297,0.0009041311612987528,0.0,0.0,30
EleutherAI/pythia-410m,1,0.043478260869565216,activation_patching,0.3741917610168457,0.3436941103916127,-0.1525343656539917,0.0001749382565347531,-0.0022413622211045294,0.00248834439437706,0.0,0.0,30
EleutherAI/pythia-410m,2,0.08695652173913043,activation_patching,0.4546627104282379,0.3589885908109775,-0.1114879846572876,0.00048449370418752005,-0.0028559085421984987,0.0035197079439561593,0.0,0.0,30
EleutherAI/pythia-410m,3,0.13043478260869565,activation_patching,0.4781923592090606,0.3763798951588035,-0.0108082294464111,-0.0016986447810860793,-0.007360836970116317,0.0033760270209474423,0.0,0.0,30
EleutherAI/pythia-410m,4,0.17391304347826086,activation_patching,0.3651613891124725,0.2948504471168671,-0.2695409059524536,0.00045486326837815375,-0.005261598832584498,0.00519427747012247,0.0,0.0,30
EleutherAI/pythia-410m,5,0.21739130434782608,activation_patching,0.4268291592597961,0.2687018193031144,-0.1994585990905761,0.0015521373611509135,-0.003201321402872431,0.005599115956231273,0.0,0.0,30
EleutherAI/pythia-410m,6,0.2608695652173913,activation_patching,0.3170336484909057,0.2423065063213074,-0.2076388597488403,0.00042621568560853677,-0.00466145888131116,0.004942318653919971,0.0,0.0,30
EleutherAI/pythia-410m,7,0.30434782608695654,activation_patching,0.4392527937889099,0.442368177613321,-0.0355986356735229,0.0008028681247621211,-0.008148834030632757,0.009864185735499374,0.0,0.0,30
EleutherAI/pythia-410m,8,0.34782608695652173,activation_patching,0.5681825280189514,0.4480419364785692,0.1025187969207763,-0.002629442567568847,-0.016674478214674198,0.012662336967875146,0.0,0.0,30
EleutherAI/pythia-410m,9,0.391304347826087,activation_patching,0.585186243057251,0.565464076472402,0.2897655963897705,-0.0042805780117559636,-0.02065568237081087,0.013468647265354286,0.0,0.0,30
EleutherAI/pythia-410m,10,0.43478260869565216,activation_patching,0.5816378593444824,0.5263644773358002,0.2551984190940857,-0.0038674782520413888,-0.019349559154835678,0.011533354331384723,0.0,0.0,30
EleutherAI/pythia-410m,11,0.4782608695652174,activation_patching,0.5608025193214417,0.5129201356768424,0.2003276944160461,-0.011506827035810166,-0.03185555519787778,0.009636743851589481,0.0,0.0,30
EleutherAI/pythia-410m,12,0.5217391304347826,activation_patching,0.526661217212677,0.5193339500462535,0.0746859908103942,-0.008663482330035725,-0.028060492353995325,0.011651772382968465,0.0,0.0,30
EleutherAI/pythia-410m,13,0.5652173913043478,activation_patching,0.5206883549690247,0.5229108849830403,0.1567239165306091,-0.004680150204160242,-0.016238317193503965,0.0076065665009779635,0.0,0.0,30
EleutherAI/pythia-410m,14,0.6086956521739131,activation_patching,0.5838051438331604,0.5856922602528523,0.2574325203895569,-0.004508001497133482,-0.013455898987731883,0.004120461882201658,0.0,0.0,30
EleutherAI/pythia-410m,15,0.6521739130434783,activation_patching,0.5117272138595581,0.4905951279679308,0.1709846258163452,-0.0020230773249332638,-0.0073958449537672956,0.00274433215196853,0.0,0.0,30
EleutherAI/pythia-410m,16,0.6956521739130435,activation_patching,0.6109327673912048,0.5602836879432623,0.343159556388855,-0.0013415896404358621,-0.004196267348934211,0.0012866864178185668,0.0,0.0,30
EleutherAI/pythia-410m,17,0.7391304347826086,activation_patching,0.5970431566238403,0.507986432315757,0.3165698647499084,-0.001555954089238056,-0.003924871624445081,0.0007107350781384987,0.0,0.0,30
EleutherAI/pythia-410m,18,0.782608695652174,activation_patching,0.5660039186477661,0.4823311748381128,0.2802764177322387,-0.0018579819874299992,-0.004755194720580175,0.000810962774744459,0.0,0.0,30
EleutherAI/pythia-410m,19,0.8260869565217391,activation_patching,0.5439323782920837,0.5000925069380203,0.2217507362365722,-0.002525765921370657,-0.0061773897191715835,0.000739108387339634,0.0,0.0,30
EleutherAI/pythia-410m,20,0.8695652173913043,activation_patching,0.5446330904960632,0.4440949737897009,0.186617374420166,-0.0025263005364249136,-0.0060682842900141604,0.0005451018651661139,0.0,0.0,30
EleutherAI/pythia-410m,21,0.9130434782608695,activation_patching,0.5329171419143677,0.4645698427382054,0.1650910377502441,-0.001970468092202929,-0.004765743262682362,0.00047534594048257686,0.0,0.0,30
EleutherAI/pythia-410m,22,0.9565217391304348,activation_patching,0.560661256313324,0.5146469318532223,0.2702621221542358,-0.0011930119566285536,-0.003208031639757182,0.0005621881085955083,0.0,0.0,30
EleutherAI/pythia-410m,23,1.0,activation_patching,0.5228451490402222,0.4656799259944496,0.2108169794082641,0.0010514176161822006,-0.0014296379636609458,0.004483013767563562,0.0,0.0,30
